,diff,lwr,upr,p adj,Comparison,Result,Explanation
4:Refrigerated Control:Winter-4:share table:Summer A,0.981,0.283064716,1.678935284,0.000141649,N/A,,
1:overnight:Summer B-5:share table:Summer A,0.5143,0.072886969,0.955713031,0.005646344,N/A,,
2:overnight:Summer B-5:share table:Summer A,0.8518,0.410386969,1.293213031,1.79E-08,N/A,,
3:overnight:Summer B-5:share table:Summer A,1.2143,0.772886969,1.655713031,0,N/A,,
4:overnight:Summer B-5:share table:Summer A,0.5043,0.062886969,0.945713031,0.007776999,N/A,,
2:Refrigerated Control:Summer B-5:share table:Summer A,0.8068,0.108864716,1.504735284,0.006429408,N/A,,
3:Refrigerated Control:Summer B-5:share table:Summer A,0.7068,0.008864716,1.404735284,0.0428787,N/A,,
4:Refrigerated Control:Summer B-5:share table:Summer A,0.6968,-0.001135284,1.394735284,0.050983544,N/A,,
1:overnight:Winter-5:share table:Summer A,1.073466667,0.596686101,1.550247233,0,N/A,,
2:overnight:Winter-5:share table:Summer A,0.9768,0.500019434,1.453580566,2.12E-09,N/A,,
3:overnight:Winter-5:share table:Summer A,1.0468,0.570019434,1.523580566,8.10E-11,N/A,,
4:overnight:Winter-5:share table:Summer A,0.573466667,0.096686101,1.050247233,0.00327544,N/A,,
2:Refrigerated Control:Winter-5:share table:Summer A,1.0168,0.318864716,1.714735284,6.13E-05,N/A,,
3:Refrigerated Control:Winter-5:share table:Summer A,0.9068,0.208864716,1.604735284,0.000764242,N/A,,
4:Refrigerated Control:Winter-5:share table:Summer A,1.0268,0.328864716,1.724735284,4.84E-05,N/A,,
3:overnight:Summer B-1:overnight:Summer B,0.7,0.258586969,1.141413031,7.08E-06,Summer B - Summer B,Overnight day 3 is different from overnight day 1,Lag phase
1:share table:Summer B-1:overnight:Summer B,-0.6475,-1.124280566,-0.170719434,0.000303602,Summer B - Summer B,ST Day 1 is different from Overnight Day 1,
2:share table:Summer B-1:overnight:Summer B,-0.4995,-0.91826117,-0.08073883,0.003789495,Summer B - Summer B,ST Day 2 is different from Overnight Day 1,
3:share table:Summer B-1:overnight:Summer B,-0.47675,-0.918163031,-0.035336969,0.01819796,Summer B - Summer B,ST Day 3 is different from Overnight Day 1,
4:share table:Summer B-1:overnight:Summer B,-0.58875,-1.030163031,-0.147336969,0.000445788,Summer B - Summer B,ST Day 4 is different from Overnight Day 1,
1:overnight:Winter-1:overnight:Summer B,0.559166667,0.082386101,1.035947233,0.005059461,Winter - Summer B,Overnight shift day 1 in the winter is different than overnight shift day 1 in the summer b,
2:overnight:Winter-1:overnight:Summer B,0.4625,-0.014280566,0.939280566,0.071042999,N/A,,
3:overnight:Winter-1:overnight:Summer B,0.5325,0.055719434,1.009280566,0.011087326,N/A,,
1:share table:Winter-1:overnight:Summer B,-0.5175,-0.994280566,-0.040719434,0.016952181,N/A,,
2:share table:Winter-1:overnight:Summer B,-0.508833333,-0.985613899,-0.032052767,0.021535231,N/A,,
3:share table:Winter-1:overnight:Summer B,-0.493833333,-0.970613899,-0.017052767,0.032221258,N/A,,
5:share table:Winter-1:overnight:Summer B,-0.5797,-1.056480566,-0.102919434,0.002702304,N/A,,
1:share table:Summer B-2:overnight:Summer B,-0.985,-1.461780566,-0.508219434,1.54E-09,Summer B - Summer B,ST Day 1 is different from Overnight Day 2,
2:share table:Summer B-2:overnight:Summer B,-0.837,-1.25576117,-0.41823883,5.23E-09,Summer B - Summer B,ST Day 2 is different from Overnight Day 2,
3:share table:Summer B-2:overnight:Summer B,-0.81425,-1.255663031,-0.372836969,8.01E-08,Summer B - Summer B,ST Day 3 is different from Overnight Day 2,
4:share table:Summer B-2:overnight:Summer B,-0.92625,-1.367663031,-0.484836969,8.32E-10,Summer B - Summer B,ST Day 4 is different from Overnight Day 2,
5:share table:Summer B-2:overnight:Summer B,-0.69,-1.131413031,-0.248586969,1.04E-05,Summer B - Summer B,ST Day 5 is different from Overnight Day 2,
1:share table:Winter-2:overnight:Summer B,-0.855,-1.331780566,-0.378219434,1.97E-07,N/A,,
2:share table:Winter-2:overnight:Summer B,-0.846333333,-1.323113899,-0.369552767,2.71E-07,N/A,,
3:share table:Winter-2:overnight:Summer B,-0.831333333,-1.308113899,-0.354552767,4.68E-07,N/A,,
4:share table:Winter-2:overnight:Summer B,-0.715,-1.191780566,-0.238219434,3.02E-05,N/A,,
5:share table:Winter-2:overnight:Summer B,-0.9172,-1.393980566,-0.440419434,1.99E-08,N/A,,
4:overnight:Summer B-3:overnight:Summer B,-0.71,-1.151413031,-0.268586969,4.81E-06,Summer B - Summer B,Overnight shift day 4 is different than overnight day 3,Reaching stationary phase
1:Refrigerated Control:Summer B-3:overnight:Summer B,-0.9575,-1.655435284,-0.259564716,0.000243497,Summer B - Summer B,RC Day 1 is different than summer overnight Day 3,Longer lag phase
1:share table:Summer B-3:overnight:Summer B,-1.3475,-1.824280566,-0.870719434,0,Summer B - Summer B,ST Day 1 is different from Overnight Day 3,
2:share table:Summer B-3:overnight:Summer B,-1.1995,-1.61826117,-0.78073883,0,Summer B - Summer B,ST Day 2 is different from Overnight Day 3,
3:share table:Summer B-3:overnight:Summer B,-1.17675,-1.618163031,-0.735336969,0,Summer B - Summer B,ST Day 3 is different from Overnight Day 3,
4:share table:Summer B-3:overnight:Summer B,-1.28875,-1.730163031,-0.847336969,0,Summer B - Summer B,ST Day 4 is different from Overnight Day 3,
5:share table:Summer B-3:overnight:Summer B,-1.0525,-1.493913031,-0.611086969,0,Summer B - Summer B,ST Day 5 is different from Overnight Day 3,
4:overnight:Winter-3:overnight:Summer B,-0.640833333,-1.117613899,-0.164052767,0.000378947,N/A,,
1:Refrigerated Control:Winter-3:overnight:Summer B,-0.7275,-1.425435284,-0.029564716,0.029648225,N/A,,
1:share table:Winter-3:overnight:Summer B,-1.2175,-1.694280566,-0.740719434,0,N/A,,
2:share table:Winter-3:overnight:Summer B,-1.208833333,-1.685613899,-0.732052767,0,N/A,,
3:share table:Winter-3:overnight:Summer B,-1.193833333,-1.670613899,-0.717052767,0,N/A,,
4:share table:Winter-3:overnight:Summer B,-1.0775,-1.554280566,-0.600719434,0,N/A,,
5:share table:Winter-3:overnight:Summer B,-1.2797,-1.756480566,-0.802919434,0,N/A,,
1:share table:Summer B-4:overnight:Summer B,-0.6375,-1.114280566,-0.160719434,0.000423157,Summer B - Summer B,ST Day 1 is different from Overnight Day 4,
2:share table:Summer B-4:overnight:Summer B,-0.4895,-0.90826117,-0.07073883,0.005347974,Summer B - Summer B,ST Day 2 is different from Overnight Day 4,
3:share table:Summer B-4:overnight:Summer B,-0.46675,-0.908163031,-0.025336969,0.024462151,Summer B - Summer B,ST Day 3 is different from Overnight Day 4,
4:share table:Summer B-4:overnight:Summer B,-0.57875,-1.020163031,-0.137336969,0.000635582,Summer B - Summer B,ST Day 4 is different from Overnight Day 4,
1:overnight:Winter-4:overnight:Summer B,0.569166667,0.092386101,1.045947233,0.003736553,N/A,,
2:overnight:Winter-4:overnight:Summer B,0.4725,-0.004280566,0.949280566,0.055644073,N/A,,
3:overnight:Winter-4:overnight:Summer B,0.5425,0.065719434,1.019280566,0.008296612,N/A,,
1:share table:Winter-4:overnight:Summer B,-0.5075,-0.984280566,-0.030719434,0.022333638,N/A,,
2:share table:Winter-4:overnight:Summer B,-0.498833333,-0.975613899,-0.022052767,0.028217779,N/A,,
3:share table:Winter-4:overnight:Summer B,-0.483833333,-0.960613899,-0.007052767,0.041796879,N/A,,
5:share table:Winter-4:overnight:Summer B,-0.5697,-1.046480566,-0.092919434,0.00367617,N/A,,
1:overnight:Winter-1:Refrigerated Control:Summer B,0.816666667,0.095842205,1.537491128,0.008879592,N/A,,
2:overnight:Winter-1:Refrigerated Control:Summer B,0.72,-0.000824462,1.440824462,0.050689812,N/A,,
3:overnight:Winter-1:Refrigerated Control:Summer B,0.79,0.069175538,1.510824462,0.014721158,N/A,,
1:share table:Summer B-2:Refrigerated Control:Summer B,-0.94,-1.660824462,-0.219175538,0.000709415,Summer B - Summer B,ST Day 1 is different from RC Day 2,
2:share table:Summer B-2:Refrigerated Control:Summer B,-0.792,-1.475834128,-0.108165872,0.006232559,Summer B - Summer B,ST Day 2 is different from RC Day 2,
3:share table:Summer B-2:Refrigerated Control:Summer B,-0.76925,-1.467185284,-0.071314716,0.013539387,Summer B - Summer B,ST Day 3 is different from RC Day 2,
4:share table:Summer B-2:Refrigerated Control:Summer B,-0.88125,-1.579185284,-0.183314716,0.001340149,Summer B - Summer B,ST Day 4 is different from RC Day 2,
1:share table:Winter-2:Refrigerated Control:Summer B,-0.81,-1.530824462,-0.089175538,0.010091849,N/A,,
2:share table:Winter-2:Refrigerated Control:Summer B,-0.801333333,-1.522157795,-0.080508872,0.011899903,N/A,,
3:share table:Winter-2:Refrigerated Control:Summer B,-0.786333333,-1.507157795,-0.065508872,0.015759289,N/A,,
5:share table:Winter-2:Refrigerated Control:Summer B,-0.8722,-1.593024462,-0.151375538,0.002946223,N/A,,
1:share table:Summer B-3:Refrigerated Control:Summer B,-0.84,-1.560824462,-0.119175538,0.005629434,Summer B - Summer B,ST Day 1 is different from RC Day 3,
2:share table:Summer B-3:Refrigerated Control:Summer B,-0.692,-1.375834128,-0.008165872,0.043278025,Summer B - Summer B,ST Day 2 is different from RC Day 3,
3:share table:Summer B-3:Refrigerated Control:Summer B,-0.66925,-1.367185284,0.028685284,0.080629074,Summer B - Summer B,ST Day 3 is different from RC Day 3,
4:share table:Summer B-3:Refrigerated Control:Summer B,-0.78125,-1.479185284,-0.083314716,0.010712637,Summer B - Summer B,ST Day 4 is different from RC Day 3,
1:share table:Winter-3:Refrigerated Control:Summer B,-0.71,-1.430824462,0.010824462,0.059747247,N/A,,
2:share table:Winter-3:Refrigerated Control:Summer B,-0.701333333,-1.422157795,0.019491128,0.068706332,N/A,,
3:share table:Winter-3:Refrigerated Control:Summer B,-0.686333333,-1.407157795,0.034491128,0.086950935,N/A,,
5:share table:Winter-3:Refrigerated Control:Summer B,-0.7722,-1.493024462,-0.051375538,0.020426396,N/A,,
1:share table:Summer B-4:Refrigerated Control:Summer B,-0.83,-1.550824462,-0.109175538,0.006853681,Summer B - Summer B,ST Day 1 is different from RC Day 4,
2:share table:Summer B-4:Refrigerated Control:Summer B,-0.682,-1.365834128,0.001834128,0.051630844,Summer B - Summer B,ST Day 2 is different from RC Day 4,
3:share table:Summer B-4:Refrigerated Control:Summer B,-0.65925,-1.357185284,0.038685284,0.094542485,Summer B - Summer B,ST Day 3 is different from RC Day 4,
4:share table:Summer B-4:Refrigerated Control:Summer B,-0.77125,-1.469185284,-0.073314716,0.013024518,Summer B - Summer B,ST Day 4 is different from RC Day 4,
1:share table:Winter-4:Refrigerated Control:Summer B,-0.7,-1.420824462,0.020824462,0.070182798,N/A,,
2:share table:Winter-4:Refrigerated Control:Summer B,-0.691333333,-1.412157795,0.029491128,0.080459482,N/A,,
5:share table:Winter-4:Refrigerated Control:Summer B,-0.7622,-1.483024462,-0.041375538,0.024461958,N/A,,
1:overnight:Winter-1:share table:Summer B,1.206666667,0.696966802,1.716366531,0,N/A,,
2:overnight:Winter-1:share table:Summer B,1.11,0.600300135,1.619699865,1.42E-10,N/A,,
3:overnight:Winter-1:share table:Summer B,1.18,0.670300135,1.689699865,0,N/A,,
4:overnight:Winter-1:share table:Summer B,0.706666667,0.196966802,1.216366531,0.000192887,N/A,,
2:Refrigerated Control:Winter-1:share table:Summer B,1.15,0.429175538,1.870824462,6.02E-06,N/A,,
3:Refrigerated Control:Winter-1:share table:Summer B,1.04,0.319175538,1.760824462,7.73E-05,N/A,,
4:Refrigerated Control:Winter-1:share table:Summer B,1.16,0.439175538,1.880824462,4.75E-06,N/A,,
1:overnight:Winter-2:share table:Summer B,1.058666667,0.602777248,1.514556085,0,N/A,,
2:overnight:Winter-2:share table:Summer B,0.962,0.506110582,1.417889418,6.60E-10,N/A,,
3:overnight:Winter-2:share table:Summer B,1.032,0.576110582,1.487889418,0,N/A,,
4:overnight:Winter-2:share table:Summer B,0.558666667,0.102777248,1.014556085,0.002344619,N/A,,
2:Refrigerated Control:Winter-2:share table:Summer B,1.002,0.318165872,1.685834128,5.34E-05,N/A,,
3:Refrigerated Control:Winter-2:share table:Summer B,0.892,0.208165872,1.575834128,0.000705597,N/A,,
4:Refrigerated Control:Winter-2:share table:Summer B,1.012,0.328165872,1.695834128,4.19E-05,N/A,,
1:overnight:Winter-3:share table:Summer B,1.035916667,0.559136101,1.512697233,1.63E-10,N/A,,
2:overnight:Winter-3:share table:Summer B,0.93925,0.462469434,1.416030566,8.75E-09,N/A,,
3:overnight:Winter-3:share table:Summer B,1.00925,0.532469434,1.486030566,5.78E-10,N/A,,
4:overnight:Winter-3:share table:Summer B,0.535916667,0.059136101,1.012697233,0.010047595,N/A,,
2:Refrigerated Control:Winter-3:share table:Summer B,0.97925,0.281314716,1.677185284,0.000147515,N/A,,
3:Refrigerated Control:Winter-3:share table:Summer B,0.86925,0.171314716,1.567185284,0.001738034,N/A,,
4:Refrigerated Control:Winter-3:share table:Summer B,0.98925,0.291314716,1.687185284,0.000116934,N/A,,
1:overnight:Winter-4:share table:Summer B,1.147916667,0.671136101,1.624697233,0,N/A,,
2:overnight:Winter-4:share table:Summer B,1.05125,0.574469434,1.528030566,5.60E-11,N/A,,
3:overnight:Winter-4:share table:Summer B,1.12125,0.644469434,1.598030566,0,N/A,,
4:overnight:Winter-4:share table:Summer B,0.647916667,0.171136101,1.124697233,0.000299412,N/A,,
2:Refrigerated Control:Winter-4:share table:Summer B,1.09125,0.393314716,1.789185284,1.03E-05,N/A,,
3:Refrigerated Control:Winter-4:share table:Summer B,0.98125,0.283314716,1.679185284,0.00014083,N/A,,
4:Refrigerated Control:Winter-4:share table:Summer B,1.10125,0.403314716,1.799185284,8.10E-06,N/A,,
1:overnight:Winter-5:share table:Summer B,0.911666667,0.434886101,1.388447233,2.44E-08,N/A,,
2:overnight:Winter-5:share table:Summer B,0.815,0.338219434,1.291780566,8.49E-07,N/A,,
3:overnight:Winter-5:share table:Summer B,0.885,0.408219434,1.361780566,6.54E-08,N/A,,
2:Refrigerated Control:Winter-5:share table:Summer B,0.855,0.157064716,1.552935284,0.00235865,N/A,,
3:Refrigerated Control:Winter-5:share table:Summer B,0.745,0.047064716,1.442935284,0.021477267,N/A,,
4:Refrigerated Control:Winter-5:share table:Summer B,0.865,0.167064716,1.562935284,0.001904486,N/A,,
4:overnight:Winter-1:overnight:Winter,-0.5,-1.009699865,0.009699865,0.062618156,Winter - Winter,Overnight day 4 is different than overnight day 1,Stationary phase day 4
1:share table:Winter-1:overnight:Winter,-1.076666667,-1.586366531,-0.566966802,6.32E-10,Winter - Winter,ST Day 1 is different from Overnight Day 1,
2:share table:Winter-1:overnight:Winter,-1.068,-1.577699865,-0.558300135,8.82E-10,Winter - Winter,ST Day 2 is different from Overnight Day 1,
3:share table:Winter-1:overnight:Winter,-1.053,-1.562699865,-0.543300135,1.54E-09,Winter - Winter,ST Day 3 is different from Overnight Day 1,
4:share table:Winter-1:overnight:Winter,-0.936666667,-1.446366531,-0.426966802,9.05E-08,Winter - Winter,ST Day 4 is different from Overnight Day 1,
5:share table:Winter-1:overnight:Winter,-1.138866667,-1.648566531,-0.629166802,0,Winter - Winter,ST Day 5 is different from Overnight Day 1,
1:share table:Winter-2:overnight:Winter,-0.98,-1.489699865,-0.470300135,2.02E-08,Winter - Winter,ST Day 1 is different from Overnight Day 2,
2:share table:Winter-2:overnight:Winter,-0.971333333,-1.481033198,-0.461633469,2.73E-08,Winter - Winter,ST Day 2 is different from Overnight Day 2,
3:share table:Winter-2:overnight:Winter,-0.956333333,-1.466033198,-0.446633469,4.59E-08,Winter - Winter,ST Day 3 is different from Overnight Day 2,
4:share table:Winter-2:overnight:Winter,-0.84,-1.349699865,-0.330300135,2.45E-06,Winter - Winter,ST Day 4 is different from Overnight Day 2,
5:share table:Winter-2:overnight:Winter,-1.0422,-1.551899865,-0.532500135,2.28E-09,Winter - Winter,ST Day 5 is different from Overnight Day 3,
1:share table:Winter-3:overnight:Winter,-1.05,-1.559699865,-0.540300135,1.72E-09,Winter - Winter,ST Day 1 is different from Overnight Day 3,
2:share table:Winter-3:overnight:Winter,-1.041333333,-1.551033198,-0.531633469,2.35E-09,Winter - Winter,ST Day 2 is different from Overnight Day 3,
3:share table:Winter-3:overnight:Winter,-1.026333333,-1.536033198,-0.516633469,4.01E-09,Winter - Winter,ST Day 3 is different from Overnight Day 3,
4:share table:Winter-3:overnight:Winter,-0.91,-1.419699865,-0.400300135,2.26E-07,Winter - Winter,ST Day 4 is different from Overnight Day 3,
5:share table:Winter-3:overnight:Winter,-1.1122,-1.621899865,-0.602500135,1.25E-10,Winter - Winter,ST Day 5 is different from Overnight Day 3,
1:share table:Winter-4:overnight:Winter,-0.576666667,-1.086366531,-0.066966802,0.009076158,Winter - Winter,ST Day 1 is different from Overnight Day 4,
2:share table:Winter-4:overnight:Winter,-0.568,-1.077699865,-0.058300135,0.011470706,Winter - Winter,ST Day 2 is different from Overnight Day 4,
3:share table:Winter-4:overnight:Winter,-0.553,-1.062699865,-0.043300135,0.017054462,Winter - Winter,ST Day 3 is different from Overnight Day 4,
5:share table:Winter-4:overnight:Winter,-0.638866667,-1.148566531,-0.129166802,0.001541478,Winter - Winter,ST Day 5 is different from Overnight Day 4,
1:share table:Winter-2:Refrigerated Control:Winter,-1.02,-1.740824462,-0.299175538,0.000121482,Winter - Winter,ST Day 1 is different from RC Day 2,
2:share table:Winter-2:Refrigerated Control:Winter,-1.011333333,-1.732157795,-0.290508872,0.00014762,Winter - Winter,ST Day 2 is different from RC Day 2,
3:share table:Winter-2:Refrigerated Control:Winter,-0.996333333,-1.717157795,-0.275508872,0.000206427,Winter - Winter,ST Day 3 is different from RC Day 2,
4:share table:Winter-2:Refrigerated Control:Winter,-0.88,-1.600824462,-0.159175538,0.002511017,Winter - Winter,ST Day 4 is different from RC Day 2,
5:share table:Winter-2:Refrigerated Control:Winter,-1.0822,-1.803024462,-0.361375538,2.93E-05,Winter - Winter,ST Day 5 is different from RC Day 2,
1:share table:Winter-3:Refrigerated Control:Winter,-0.91,-1.630824462,-0.189175538,0.001344424,Winter - Winter,ST Day 1 is different from RC Day 3,
2:share table:Winter-3:Refrigerated Control:Winter,-0.901333333,-1.622157795,-0.180508872,0.001612859,Winter - Winter,ST Day 2 is different from RC Day 3,
3:share table:Winter-3:Refrigerated Control:Winter,-0.886333333,-1.607157795,-0.165508872,0.00220361,Winter - Winter,ST Day 3 is different from RC Day 3,
4:share table:Winter-3:Refrigerated Control:Winter,-0.77,-1.490824462,-0.049175538,0.021257878,Winter - Winter,ST Day 4 is different from RC Day 3,
5:share table:Winter-3:Refrigerated Control:Winter,-0.9722,-1.693024462,-0.251375538,0.000352072,Winter - Winter,ST Day 5 is different from RC Day 3,
1:share table:Winter-4:Refrigerated Control:Winter,-1.03,-1.750824462,-0.309175538,9.69E-05,Winter - Winter,ST Day 1 is different from RC Day 4,
2:share table:Winter-4:Refrigerated Control:Winter,-1.021333333,-1.742157795,-0.300508872,0.000117886,Winter - Winter,ST Day 2 is different from RC Day 4,
3:share table:Winter-4:Refrigerated Control:Winter,-1.006333333,-1.727157795,-0.285508872,0.000165123,Winter - Winter,ST Day 3 is different from RC Day 4,
4:share table:Winter-4:Refrigerated Control:Winter,-0.89,-1.610824462,-0.169175538,0.002042484,Winter - Winter,ST Day 4 is different from RC Day 4,
5:share table:Winter-4:Refrigerated Control:Winter,-1.0922,-1.813024462,-0.371375538,2.33E-05,Winter - Winter,ST Day 5 is different from RC Day 4,
